episode,score,epsilon
167,-289.71283305055096,0.00998645168764533
168,-260.56995659673487,0.00998645168764533
169,-275.51005981276955,0.00998645168764533
170,-268.33553983078036,0.00998645168764533
171,-266.5108025557362,0.00998645168764533
172,-262.3199399623332,0.00998645168764533
173,-264.2589295320064,0.00998645168764533
174,-249.18658731493431,0.00998645168764533
175,-275.1935011780232,0.00998645168764533
176,-293.36026470870235,0.00998645168764533
177,-267.996939619389,0.00998645168764533
178,-261.6622343144877,0.00998645168764533
179,-281.92774738036826,0.00998645168764533
180,-282.5976907550874,0.00998645168764533
181,-255.49986962790348,0.00998645168764533
182,-258.303472381122,0.00998645168764533
183,-267.11222203619184,0.00998645168764533
184,-277.7679568630426,0.00998645168764533
185,-266.6256884367862,0.00998645168764533
186,-254.56906936849592,0.00998645168764533
187,-296.5394003322085,0.00998645168764533
188,-276.95016255131156,0.00998645168764533
189,-262.21379149308655,0.00998645168764533
190,-257.24849270298733,0.00998645168764533
191,-273.49408360567014,0.00998645168764533
192,-251.55712315455364,0.00998645168764533
193,-258.40852592272097,0.00998645168764533
194,-299.58647407830045,0.00998645168764533
195,-267.1187205391763,0.00998645168764533
196,-259.7858879464122,0.00998645168764533
197,-250.59390800491497,0.00998645168764533
198,-259.68906111018094,0.00998645168764533
199,-261.3790745904982,0.00998645168764533
200,-255.75391766930827,0.00998645168764533
201,-249.28350873135773,0.00998645168764533
202,-248.77574738237485,0.00998645168764533
203,-273.1685993482067,0.00998645168764533
204,-269.63140358352,0.00998645168764533
205,-295.08277246431584,0.00998645168764533
206,-272.97230954422224,0.00998645168764533
207,-265.9102674737957,0.00998645168764533
208,-254.00017789887633,0.00998645168764533
209,-250.03482609799337,0.00998645168764533
210,-244.28279761976216,0.00998645168764533
211,-269.3850360398202,0.00998645168764533
212,-253.90127767406315,0.00998645168764533
213,-253.16405005185126,0.00998645168764533
214,-266.11947074537954,0.00998645168764533
215,-247.24026060790462,0.00998645168764533
216,-264.323977258473,0.00998645168764533
217,-260.209160842928,0.00998645168764533
218,-251.09727030091642,0.00998645168764533
219,-256.2890597735129,0.00998645168764533
220,-254.59497398911748,0.00998645168764533
221,-271.17343390837095,0.00998645168764533
222,-287.7188449741807,0.00998645168764533
223,-253.7132868843032,0.00998645168764533
224,-268.319963054518,0.00998645168764533
225,-262.9755538936582,0.00998645168764533
226,-266.82294695563746,0.00998645168764533
227,-260.58470482692945,0.00998645168764533
228,-262.18108541085667,0.00998645168764533
229,-264.53572726168517,0.00998645168764533
230,-255.57846839214778,0.00998645168764533
231,-245.0267953154512,0.00998645168764533
232,-249.5307772175716,0.00998645168764533
233,-258.32156876709126,0.00998645168764533
234,-255.96199927664279,0.00998645168764533
235,-268.1635688943105,0.00998645168764533
236,-254.9977756672364,0.00998645168764533
237,-257.02164072050135,0.00998645168764533
238,-292.238627500681,0.00998645168764533
239,-258.2864211941916,0.00998645168764533
240,-285.8161860924256,0.00998645168764533
241,-287.63805983563424,0.00998645168764533
242,-256.13507687980183,0.00998645168764533
243,-269.22973670677857,0.00998645168764533
244,-268.1300675560521,0.00998645168764533
245,-261.0012614378336,0.00998645168764533
246,-272.97884288248304,0.00998645168764533
247,-260.09125578117164,0.00998645168764533
248,-243.86895816513007,0.00998645168764533
249,-262.61048518718525,0.00998645168764533
250,-244.0347149359053,0.00998645168764533
251,-263.68263490318935,0.00998645168764533
252,-276.9065708618864,0.00998645168764533
253,-269.65824510737406,0.00998645168764533
254,-254.18348530968493,0.00998645168764533
255,-278.1682707933458,0.00998645168764533
256,-254.76685100626233,0.00998645168764533
257,-244.46805388172325,0.00998645168764533
258,-270.04868013427375,0.00998645168764533
259,-263.89510994720365,0.00998645168764533
260,-257.28396365185426,0.00998645168764533
261,-259.1053559023134,0.00998645168764533
262,-259.8499971860095,0.00998645168764533
263,-240.34291501449957,0.00998645168764533
264,-257.1330208363348,0.00998645168764533
265,-265.0850147449932,0.00998645168764533
266,-265.41048478640045,0.00998645168764533
267,-267.2881239385027,0.00998645168764533
268,-258.02888386556805,0.00998645168764533
269,-269.4453796929593,0.00998645168764533
270,-255.3467666628287,0.00998645168764533
271,-270.5204646543238,0.00998645168764533
272,-268.72903865987854,0.00998645168764533
273,-259.0056518113304,0.00998645168764533
274,-258.7103470337876,0.00998645168764533
275,-247.4603119733518,0.00998645168764533
276,-273.1891538243893,0.00998645168764533
277,-279.9650448361827,0.00998645168764533
278,-258.07401865324806,0.00998645168764533
